TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-08-25T10:32:00,3922,162,,51.134,16.8842
04,kujawsko-pomorskie,2020-08-25T10:32:00,1183,53,,53.1648,18.4834
06,lubelskie,2020-08-25T10:32:00,1423,24,,51.2494,23.1011
08,lubuskie,2020-08-25T10:32:00,635,13,1,52.2275,15.2559
10,łódzkie,2020-08-25T10:32:00,5076,231,,51.4635,19.1727
12,małopolskie,2020-08-25T10:32:00,6638,113,,49.7225,20.2503
14,mazowieckie,2020-08-25T10:32:00,8765,401,,51.8927,21.0022
16,opolskie,2020-08-25T10:32:00,1555,60,,50.8004,17.938
18,podkarpackie,2020-08-25T10:32:00,2179,79,,50.0575,22.0896
20,podlaskie,2020-08-25T10:32:00,1232,29,,53.0697,22.9675
22,pomorskie,2020-08-25T10:32:00,2198,44,,54.2944,18.1531
24,śląskie,2020-08-25T10:32:00,19900,465,,50.5717,19.322
26,świętokrzyskie,2020-08-25T10:32:00,1323,49,,50.6261,20.9406
28,warmińsko-mazurskie,2020-08-25T10:32:00,760,7,,53.8671,20.7028
30,wielkopolskie,2020-08-25T10:32:00,5227,220,,52.28,17.3523
32,zachodniopomorskie,2020-08-25T10:32:00,1057,27,,53.4658,15.1823
XX,nieokreślono,2020-08-25T10:00:00,,,42783,52.0693,19.4803
