TERYT,Województwo,Uaktualniono,Zakażenia,Zgony,Wyleczono,Szerokość,Długość
02,dolnośląskie,2020-07-04T10:31:00,2936,149,,51.134,16.8842
04,kujawsko-pomorskie,2020-07-03T10:30:00,679,49,,53.1648,18.4834
06,lubelskie,2020-07-04T10:31:00,678,18,,51.2494,23.1011
08,lubuskie,2020-06-30T10:30:00,151,,1,52.2275,15.2559
10,łódzkie,2020-07-04T10:31:00,3231,175,,51.4635,19.1727
12,małopolskie,2020-07-04T10:31:00,1834,44,,49.7225,20.2503
14,mazowieckie,2020-07-04T10:31:00,5152,344,,51.8927,21.0022
16,opolskie,2020-07-04T10:31:00,967,51,,50.8004,17.938
18,podkarpackie,2020-07-04T10:31:00,734,51,,50.0575,22.0896
20,podlaskie,2020-07-04T10:31:00,874,12,,53.0697,22.9675
22,pomorskie,2020-07-04T10:31:00,685,38,,54.2944,18.1531
24,śląskie,2020-07-04T10:31:00,13176,340,,50.5717,19.322
26,świętokrzyskie,2020-07-04T10:31:00,824,40,,50.6261,20.9406
28,warmińsko-mazurskie,2020-07-04T10:31:00,271,1,,53.8671,20.7028
30,wielkopolskie,2020-07-04T10:31:00,2907,178,,52.28,17.3523
32,zachodniopomorskie,2020-07-04T10:31:00,620,22,,53.4658,15.1823
XX,nieokreślono,2020-07-04T10:00:00,,,23126,52.0693,19.4803
